0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:30:32 +0800] "GET /web/js/basedata/components/base-data-list.js HTTP/1.1" 200 6701
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:30:32 +0800] "GET /web/js/basedata/components/ht-btns.js HTTP/1.1" 200 811
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:30:32 +0800] "GET /web/js/basedata/components/area-select.js HTTP/1.1" 200 5522
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:30:33 +0800] "GET /web/js/basedata/components/date-select.js HTTP/1.1" 200 1331
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:30:33 +0800] "GET /web/dist/js/vendors.min.js?_=9693c048-2bb2-4f3d-a49f-c11257cb1dc6 HTTP/1.1" 200 1149654
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:30:33 +0800] "GET /web/js/basedata/components/ht-add-del-btn.js HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:30:33 +0800] "GET /web/js/basedata/components/ht-tree.js HTTP/1.1" 200 2497
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:30:33 +0800] "GET /web/js/finance/components/ht-assets-list.js HTTP/1.1" 200 6135
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:30:33 +0800] "GET /web/js/basedata/components/common-record-list.js HTTP/1.1" 200 2703
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:30:33 +0800] "GET /web/js/finance/FixedAssets/FixedAssetsSubsidiaryLedger/index.js HTTP/1.1" 200 20251
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:30:33 +0800] "GET /web/js/finance/components/ht-input-tree.js HTTP/1.1" 200 2584
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:30:33 +0800] "GET /web/ktc/css/print.css?_=9693c048-2bb2-4f3d-a49f-c11257cb1dc6 HTTP/1.1" 200 891
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:30:33 +0800] "GET /web/plugins/layui/css/modules/laydate/default/laydate.css?v=5.0.9 HTTP/1.1" 200 7538
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:30:33 +0800] "GET /web/plugins/layui/css/modules/layer/default/layer.css?v=3.1.1 HTTP/1.1" 200 14426
