0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:20:23 +0800] "POST /web/public/getUserOragnList HTTP/1.1" 200 2498
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:20:23 +0800] "GET /web/shiroUser/info?_1545700823843&_=1545700823762 HTTP/1.1" 200 4437
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:20:24 +0800] "POST /web/sysShiroMenu/queryByMenuTree HTTP/1.1" 200 295626
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:20:24 +0800] "GET /web/images/favicon.png HTTP/1.1" 200 2173
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:20:24 +0800] "GET /web/finance/Wages/wageEntry/index.html HTTP/1.1" 200 19265
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:20:24 +0800] "POST /web/shiroCode/queryByBaseCodeAll HTTP/1.1" 200 42579
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:20:24 +0800] "POST /web/app/wmEmployeeItems/initData HTTP/1.1" 200 7925
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:20:25 +0800] "POST /web/app/wmEmployeeItems/changeValue HTTP/1.1" 200 15577
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:20:30 +0800] "GET /web/finance/Wages/incomeTaxCalc/index.html HTTP/1.1" 200 21188
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:20:30 +0800] "POST /web/dept/imported HTTP/1.1" 200 1949
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:20:30 +0800] "POST /web/incomeTax/initPage HTTP/1.1" 200 11887
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:20:31 +0800] "POST /web/incomeTax/listTaxRateEntry HTTP/1.1" 200 5401
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:20:31 +0800] "POST /web/incomeTax/initPage HTTP/1.1" 200 9206
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:20:31 +0800] "POST /web/incomeTax/listTaxRateEntry HTTP/1.1" 200 5401
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:20:31 +0800] "POST /web/dept/imported HTTP/1.1" 200 1949
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:20:31 +0800] "GET /web/finance/Wages/wageEntry/index.html HTTP/1.1" 200 19265
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:20:31 +0800] "POST /web/app/wmEmployeeItems/initData HTTP/1.1" 200 7925
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:20:31 +0800] "POST /web/app/wmEmployeeItems/changeValue HTTP/1.1" 200 15577
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:20:34 +0800] "GET /web/plugins/iview/iview.min.js.map HTTP/1.1" 404 157
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:21:04 +0800] "GET /web/index.html HTTP/1.1" 200 7366
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:21:04 +0800] "GET /web/css/main.css HTTP/1.1" 200 1173
